LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-105.5637757,41.3270129,2519,LINDSEY CT,,,,,,,9567a0b16973c139
-105.5641478,41.3269442,2511,LINDSEY  CT,,,,,,,741e4d5203db9caa
-105.5643796,41.3267429,2503,LINDSEY CT,,,,,,,025743b336cc8f39
-105.563506,41.3263846,1668,BATH AVE,,,,,,,2faf89994c2c4034
-105.5638621,41.3263593,2520,LINDSEY  CT,,,,,,,4d06f424a3be797f
-105.5627254,41.3270976,2632,NIGHTHAWK DR,,,,,,,cb473529be4d9ae5
-105.5628326,41.3263546,1663,BATH AVE,,,,,,,efb82ddd31125ff0
-105.5628357,41.3265872,1675,BATH AVE,,,,,,,a71e6c7e54f55190
-105.5628499,41.3268255,1755,BATH AVE,,,,,,,70fc425ab1cdc6f9
-105.5625002,41.3269814,2636,NIGHTHAWK ST,,,,,,,eb28e23a1a8988b8
-105.5627505,41.3276999,2629,NIGHTHAWK DR,,,,,,,4a5b0cd611ff2a94
-105.5623445,41.3274588,2633,NIGHTHAWK ST,,,,,,,279e94ab4170b449
-105.5621312,41.3273344,2637,NIGHTHAWK ST,,,,,,,ae3f96277ec51a36
-105.5503651,41.3277047,1779,FOX RIDGE RD,,,,,,,f3a20a08b222008b
-105.5503513,41.3264694,1663,FOX RIDGE RD,,,,,,,1dac6e26ed134634
-105.5503544,41.3267237,1671,FOX RIDGE RD,,,,,,,693054279d63418f
-105.5503571,41.3269665,1753,FOX RIDGE RD,,,,,,,8cbd97f1970b1cf9
-105.5503599,41.3272108,1765,FOX RIDGE RD,,,,,,,356d18931ab3933a
-105.5503626,41.3274551,1771,FOX RIDGE RD,,,,,,,4b638458ec0cc78a
-105.5509536,41.3264381,1662,FOX RIDGE RD,,,,,,,2d4a84020e7ebaa0
-105.5509687,41.3277093,1782,FOX RIDGE RD,,,,,,,17e369a1329937f3
-105.5509655,41.3274626,1774,FOX RIDGE RD,,,,,,,6fd0fa1728a83f89
-105.5509626,41.3272155,1760,FOX RIDGE RD,,,,,,,1a88cbc2917e1797
-105.5509598,41.3269617,1754,FOX RIDGE RD,,,,,,,397c6b807ba4cdc9
-105.5509569,41.3267031,1670,FOX RIDGE RD,,,,,,,50ad744e224a7981
-105.5513537,41.3276938,1785,PLEASANT CT,,,,,,,f2469ca3d48cf2c7
-105.5519572,41.3277043,1786,PLEASANT CT,,,,,,,c99e7b58bf9a1c77
-105.5519537,41.3274369,1780,PLEASANT CT,,,,,,,0af3f45a07d99df6
-105.5519795,41.327138,1770,PLEASANT CT,,,,,,,b5a1ab4720eebce0
-105.5520476,41.3266461,1766,PLEASANT CT,,,,,,,16a68475fe65c01b
-105.5515019,41.3265987,1765,PLEASANT CT,,,,,,,57e025c24bfd9733
-105.5513219,41.326906,1769,PLEASANT CT,,,,,,,16dfca906eeb1ddc
-105.5513483,41.3271864,1773,PLEASANT CT,,,,,,,7aee310e3009c026
-105.5513511,41.3274334,1779,PLEASANT CT,,,,,,,3f83775d2c396e8c
-105.5523477,41.3276958,1783,EAGLECREST CT,,,,,,,41b3410fc3f9c875
-105.5529673,41.3276854,1782,EAGLECREST CT,,,,,,,13f875be14682b86
-105.5529729,41.3274021,1778,EAGLECREST CT,,,,,,,7df5e041aeee5e2c
-105.5529755,41.3269636,1772,EAGLECREST CT,,,,,,,13d8760789ae2d49
-105.5524803,41.3268382,1771,EAGLECREST CT,,,,,,,15bd2bcefd62128c
-105.5523089,41.3271678,1775,EAGLECREST CT,,,,,,,6061e608c98f8c3e
-105.5523452,41.327444,1779,EAGLECREST CT,,,,,,,e4c3500a072373ed
-105.553499,41.3270515,1773,HORIZON CT,,,,,,,4a6d9bf6b3b906d6
-105.5554376,41.3278001,3310,NORTHVIEW ST,,,,,,,4df7ea81a11fb04f
-105.5548359,41.3275891,3324,NORTHVIEW ST,,,,,,,e17598768cc22557
-105.5544217,41.3274861,3332,NORTHVIEW ST,,,,,,,3cc7cbe39f264f3c
-105.5539898,41.3276376,1784,HORIZON CT,,,,,,,4411bb9bb7191a71
-105.5533508,41.327438,1777,HORIZON CT,,,,,,,85c11d03e2b47c5c
-105.5533671,41.3276972,1781,HORIZON CT,,,,,,,ddd2eb5114f44e27
-105.5540445,41.3271629,1774,HORIZON CT,,,,,,,74b2c9828e06ff11
-106.1337294,41.2992691,,,,,,,,,4498752aabb90697
-106.1344483,41.2978105,,,,,,,,,965d0b1e7d444b8d
